Date,bitcoin,f1v1n2e30,f1v1n4e30,f1v2n2e30,f1v2n4e30,f1v5n2e30,f1v5n4e30,f1v7n2e30,f1v7n4e30,f2v1n2e30,f2v1n4e30,f2v2n2e30,f2v2n4e30,f2v5n2e30,f2v5n4e30,f2v7n2e30,f2v7n4e30,f5v1n2e30,f5v1n4e30,f5v2n2e30,f5v2n4e30,f5v5n2e30,f5v5n4e30,f5v7n2e30,f5v7n4e30,f7v1n2e30,f7v1n4e30,f7v2n2e30,f7v2n4e30,f7v5n2e30,f7v5n4e30,f7v7n2e30,f7v7n4e30
2017-03-29,1039.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-30,1026.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,1071.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,1080.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-02,1102.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-03,1143.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-04,1133.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-05,1124.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-06,1182.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-07,1176.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-08,1175.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-09,1187.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-10,1187.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-11,1205.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-12,1200.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-13,1169.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-14,1167.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-15,1172.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-16,1182.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-17,1193.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-18,1211.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-19,1210.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-20,1229.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-21,1222.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-22,1231.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-23,1207.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-24,1250.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-25,1265.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-26,1281.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-27,1317.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-28,1316.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-29,1321.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-30,1347.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-01,1421.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-02,1452.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-03,1490.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-04,1537.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-05,1555.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-06,1578.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-07,1596.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-08,1723.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-09,1755.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-10,1787.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-11,1848.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-12,1724.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-13,1804.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-14,1808.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-15,1738.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-16,1734.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-17,1839.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-18,1888.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-19,1987.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-20,2084.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-21,2041.2,1151.1669,1332.6584,344.32993,1346.501,1367.4525,1234.3948,1262.2194,1533.8894,1316.7864,1336.0386,1050.7185,1339.1698,1105.8463,1506.1132,1210.4242,2015.7551,1256.4072,1326.81,1349.5631,1328.1558,1673.2743,1441.9207,996.90283,1115.543,1387.7253,1030.9124,1211.6605,1617.133,1265.0857,1177.0421,1228.5605,1437.9833
2017-05-22,2173.4,1158.9197,1337.9723,322.6514,1316.0422,1384.0979,1229.1616,1243.4503,1545.0265,1313.2872,1332.2205,1108.2635,1342.0623,1095.6895,1505.5039,1197.4495,2108.1538,1265.9868,1348.4988,1403.8878,1287.1187,1732.0475,1449.3525,996.2318,1097.3357,1406.3206,1038.0101,1166.9961,1609.4388,1273.0986,1155.1725,1211.5565,1432.1674
2017-05-23,2320.42,1158.5435,1335.1875,401.18698,1283.5021,1369.7648,1264.0208,1246.9167,1513.5441,1344.518,1345.7484,1052.7318,1313.0206,1079.6115,1400.9241,1143.7063,2171.9624,1285.6779,1409.4974,1492.6202,1393.1409,1878.6213,1379.5514,994.50507,1125.7445,1422.167,1043.4327,1114.5894,1590.5406,1280.4735,1129.0931,1190.6754,1429.349
2017-05-24,2443.64,1147.2998,1318.6768,542.6448,1275.7201,1308.9664,1256.2483,1330.8765,1496.1282,1374.7147,1367.9927,1059.2673,1249.4658,1070.6067,1298.3983,1128.5397,2163.637,1308.0372,1373.735,1510.8815,1469.0629,1916.1841,1362.9093,997.6416,1089.8275,1459.8564,1036.9258,1089.0103,1620.5555,1274.0724,1100.7811,1185.5216,1453.7659
2017-05-25,2304.98,1149.0593,1336.0151,1230.2074,1201.1306,1414.6304,1139.0973,1293.1309,1411.2314,1391.4858,1360.819,844.7687,1129.5375,1052.8097,1126.1556,1208.7518,2039.3846,1303.4501,1403.8561,1527.1252,1431.8224,1976.6847,1371.6276,997.31494,1073.7684,1487.1713,1009.87036,1111.3541,1626.5591,1292.5135,1015.0995,1229.2648,1528.183
2017-05-26,2202.42,1165.5656,1327.3662,1614.0609,1136.1215,1385.1239,1120.2219,1289.5657,1329.917,1490.5883,1386.8287,665.5052,882.4497,998.41974,772.3108,1054.5671,1980.0426,1318.171,1364.6147,1559.7418,1453.5519,2052.7104,1362.134,1000.11896,1031.8989,1510.3524,996.1267,1111.7554,1651.3196,1352.2203,962.6926,1247.8119,1538.2365
2017-05-27,2038.87,1172.333,1308.9935,1549.7415,1179.2809,1374.7832,1146.7961,1302.5836,1286.5294,1447.8008,1367.8624,670.7405,776.40125,991.3711,521.26953,1034.3575,1866.9237,1319.4656,1361.3252,1559.4019,1467.673,2047.5162,1329.9059,999.9206,999.42633,1530.1381,986.11145,1126.1262,1657.2922,1379.2253,953.71796,1259.623,1569.106
2017-05-28,2155.8,1175.2358,1310.0197,1590.9653,1150.7719,1420.3531,1069.6681,1269.4806,1187.3425,1402.0052,1334.7705,736.775,867.98706,1023.12946,371.98407,1024.6571,1778.798,1319.4532,1404.4364,1361.5968,1509.5626,2149.9155,1324.0918,997.8483,937.9571,1540.1824,977.6913,1106.337,1642.6046,1415.1606,925.55707,1279.487,1570.4591
2017-05-29,2255.61,1171.8021,1296.1017,1698.4247,1129.2837,1410.1011,1093.1039,1271.4205,1129.8644,1406.6772,1302.7374,702.9878,775.45685,1021.5386,245.93419,958.88965,1644.7793,1348.7236,1320.8458,1238.6694,1442.9143,2189.6387,1402.9954,998.0176,906.961,1543.059,978.04767,1102.519,1665.6401,1388.8777,959.32513,1273.6729,1590.7225
2017-05-30,2175.47,1171.7239,1290.7863,1732.678,1129.81,1398.4025,1097.5219,1276.0856,1094.7587,1411.0454,1324.8969,675.37915,677.0405,1032.2596,86.9263,972.72784,1528.62,1342.7837,1291.1549,1178.1085,1317.7997,2123.5117,1379.7887,998.1799,885.9019,1562.1592,974.5602,1120.3389,1728.8832,1397.5995,1007.8977,1314.9811,1629.7034
2017-05-31,2286.41,1179.8627,1293.2283,1812.8862,1106.7332,1401.2755,1068.3217,1254.8112,1036.0875,1436.1682,1348.9274,672.8705,652.4927,1031.4839,-23.934439,996.5809,1414.8802,1334.7821,1297.4486,1204.9204,1269.5901,2081.363,1363.2366,997.9261,895.3546,1484.4126,973.93304,1091.2072,1654.812,1533.7583,1020.2154,1314.8887,1649.6099
2017-06-01,2407.88,1169.9966,1293.8292,1840.6874,1106.2694,1392.4185,1113.259,1262.6357,1044.3381,1467.1589,1358.179,693.1109,557.3622,1013.47974,-168.91508,990.11786,1268.4849,1327.6539,1259.1088,1200.0769,1328.6987,2049.0864,1324.6083,995.9473,905.08044,1466.3468,981.1506,1078.6385,1664.3531,1539.7397,1024.7548,1310.7844,1591.8527
2017-06-02,2488.55,1157.4204,1291.447,1712.1135,1150.9052,1386.6388,1160.5118,1285.3715,1089.1182,1468.1974,1377.4497,758.19696,572.76984,1017.2911,-269.9699,1009.0076,1276.092,1337.2732,1281.6948,1211.3354,1396.5847,2052.136,1325.3029,995.3356,911.8747,1461.2783,997.6868,1056.1936,1645.9254,1478.2125,1069.4459,1299.8009,1564.39
2017-06-03,2515.35,1158.5453,1297.5256,1648.4264,1169.9755,1383.0182,1157.7024,1286.801,1096.3755,1448.6786,1386.6442,762.072,670.1737,1031.797,-264.04877,1015.0101,1353.3093,1347.3485,1281.058,1186.3005,1393.8595,2070.0833,1340.0786,994.8999,904.0244,1411.1412,996.68365,1046.3672,1595.4287,1463.8104,1042.2069,1313.6436,1532.7473
2017-06-04,2511.81,1162.5087,1303.7018,1675.6782,1183.0032,1352.2614,1168.1749,1297.2871,1120.7101,1470.8265,1393.0952,744.5662,709.1643,1023.1231,-219.43661,1029.9923,1357.9247,1355.6473,1226.0037,1090.9772,1191.0227,1987.0747,1350.4009,995.16876,896.25977,1411.9851,996.40283,1052.7684,1582.0981,1386.8903,1056.1879,1325.5627,1557.5944
2017-06-05,2686.81,1164.7422,1307.4192,1744.0798,1198.2899,1337.0847,1152.0643,1310.7067,1118.496,1473.4497,1392.6757,810.87726,762.76184,1019.53455,-172.75073,1053.0107,1386.0493,1359.3071,1260.1456,1091.6571,1136.341,2007.0634,1361.3813,993.07605,906.7128,1423.3716,990.8919,1069.616,1576.0087,1379.1943,1059.7393,1347.3231,1579.8293
2017-06-06,2863.2,1157.3159,1300.7775,1775.9637,1193.0254,1325.0513,1164.1522,1318.5721,1135.2887,1492.9137,1388.1125,809.7934,750.94006,1008.36816,-173.73088,1072.3181,1376.8761,1352.6812,1308.7363,1165.3368,1387.0698,2081.5667,1380.9567,990.4502,921.59863,1423.9526,987.9649,1038.975,1561.2219,1350.173,1039.4595,1369.7781,1570.2555
