,f1v0_loss,f1v0_val_loss
136,16885587.763925154,75845679.80327868
137,16885273.817014795,75844369.1147541
138,16884960.140557006,75843056.52459016
139,16884647.932767622,75841758.4262295
140,16884333.87597911,75840449.63934426
141,16884021.432767622,75839151.5409836
142,16883708.67602263,75837840.85245901
143,16883395.773389906,75836548.4590164
144,16883083.29308094,75835235.86885247
145,16882771.40535248,75833939.67213115
146,16882459.095735423,75832632.78688525
147,16882146.8437772,75831334.68852459
148,16881836.030787643,75830040.39344262
149,16881523.914599653,75828729.70491803
150,16881211.536988687,75827439.60655738
151,16880900.501740646,75826143.01639344
152,16880588.9654047,75824846.4262295
153,16880277.7164926,75823550.22950819
154,16879966.87924282,75822243.73770492
155,16879655.603894692,75820947.14754099
156,16879343.906766754,75819652.85245901
157,16879033.29340731,75818356.6557377
158,16878722.955069628,75817061.96721311
159,16878411.8191906,75815767.67213115
160,16878101.58670583,75814475.27868852
161,16877790.929721497,75813174.8852459
162,16877480.72399913,75811888.59016393
163,16877170.058529157,75810590.09836066
164,16876860.108681463,75809299.60655738
165,16876550.531984333,75808003.40983607
166,16876240.27654482,75806708.72131148
167,16875930.95844212,75805416.32786885
168,16875620.032637075,75804132.32786885
169,16875311.446910355,75802841.83606558
170,16875000.718450826,75801549.44262294
171,16874691.536879897,75800252.85245901
172,16874382.509138383,75798958.55737706
173,16874073.08735857,75797678.36065574
174,16873763.64218886,75796385.96721311
175,16873454.416449085,75795095.47540984
176,16873143.99097041,75793802.68852459
177,16872835.45659269,75792520.98360656
178,16872525.967580505,75791226.29508197
179,16872216.85813751,75789929.70491803
180,16871908.394038294,75788643.40983607
181,16871599.024042647,75787359.01639344
182,16871290.44788947,75786070.81967214
183,16870981.63751088,75784772.32786885
184,16870673.054721497,75783500.13114753
185,16870363.83104874,75782197.83606558
186,16870056.710073978,75780925.63934426
187,16869746.704852045,75779630.95081967
188,16869438.837576155,75778336.6557377
189,16869130.958333332,75777058.36065574
190,16868822.472802438,75775769.77049181
191,16868513.4006745,75774483.47540984
192,16868204.72356397,75773192.98360656
193,16867897.307114884,75771912.78688525
194,16867588.14099217,75770620.39344262
195,16867280.513272412,75769340.19672132
196,16866972.60248042,75768049.70491803
