Date,Close bitcoin,Close ethereum
2015-12-15,465.32,1.01
2015-12-16,454.93,0.991182
2015-12-17,456.08,0.940701
2015-12-18,463.62,0.920127
2015-12-19,462.32,0.908072
2015-12-20,442.68,0.903885
2015-12-21,438.64,0.900771
2015-12-22,436.57,0.864202
2015-12-23,442.4,0.8580770000000001
2015-12-24,454.98,0.8632620000000001
2015-12-25,455.65,0.8703629999999999
2015-12-26,417.27,0.8546030000000001
2015-12-27,422.82,0.8563649999999999
2015-12-28,422.28,0.8450049999999999
2015-12-29,432.98,0.8730540000000001
2015-12-30,426.62,0.911958
2015-12-31,430.57,0.933542
2016-01-01,434.33,0.948024
2016-01-02,433.44,0.937124
2016-01-03,430.01,0.971905
2016-01-04,433.09,0.95448
2016-01-05,431.96,0.950176
2016-01-06,429.11,0.95086
2016-01-07,458.05,0.942005
2016-01-08,453.23,0.986789
2016-01-09,447.61,0.986833
2016-01-10,447.99,0.999231
2016-01-11,448.43,1.06
2016-01-12,435.69,1.14
2016-01-13,432.37,1.13
2016-01-14,430.31,1.19
2016-01-15,364.33,1.21
2016-01-16,387.54,1.22
2016-01-17,382.3,1.33
2016-01-18,387.17,1.43
2016-01-19,380.15,1.37
2016-01-20,420.23,1.53
2016-01-21,410.26,1.55
2016-01-22,382.49,1.5
2016-01-23,387.49,1.97
2016-01-24,402.97,2.14
2016-01-25,391.73,2.5
2016-01-26,392.15,2.28
2016-01-27,394.97,2.39
2016-01-28,380.29,2.53
2016-01-29,379.47,2.49
2016-01-30,378.26,2.45
2016-01-31,368.77,2.31
2016-02-01,373.06,2.21
2016-02-02,374.45,2.44
2016-02-03,369.95,2.53
2016-02-04,389.59,2.58
2016-02-05,386.55,2.54
2016-02-06,376.52,2.53
2016-02-07,376.62,2.96
2016-02-08,373.45,3.18
2016-02-09,376.03,4.04
2016-02-10,381.65,4.44
2016-02-11,379.65,6.01
2016-02-12,384.26,5.55
2016-02-13,391.86,5.39
2016-02-14,407.23,5.24
2016-02-15,400.18,5.29
2016-02-16,407.49,4.32
2016-02-17,416.32,3.76
2016-02-18,422.37,4.4
2016-02-19,420.79,4.74
2016-02-20,437.16,4.34
2016-02-21,438.8,4.65
2016-02-22,437.75,5.62
2016-02-23,420.74,5.59
2016-02-24,424.95,6.24
2016-02-25,424.54,6.1
2016-02-26,432.15,5.92
2016-02-27,432.52,6.43
2016-02-28,433.5,6.47
2016-02-29,437.7,6.34
2016-03-01,435.12,7.65
2016-03-02,423.99,8.47
2016-03-03,421.65,9.29
2016-03-04,410.94,10.41
2016-03-05,400.57,11.0
2016-03-06,407.71,11.38
2016-03-07,414.32,9.55
2016-03-08,413.97,9.85
2016-03-09,414.86,11.9
2016-03-10,417.13,11.31
2016-03-11,421.69,11.08
2016-03-12,411.62,13.53
2016-03-13,414.07,14.48
2016-03-14,416.44,12.45
2016-03-15,416.83,13.01
2016-03-16,417.01,12.52
2016-03-17,420.62,11.08
2016-03-18,409.55,11.0
2016-03-19,410.44,10.53
2016-03-20,413.76,10.32
2016-03-21,413.31,11.86
2016-03-22,418.09,11.27
2016-03-23,418.04,12.42
2016-03-24,416.39,11.23
2016-03-25,417.18,10.74
2016-03-26,417.95,10.97
2016-03-27,426.77,10.42
2016-03-28,424.23,11.67
2016-03-29,416.52,11.66
2016-03-30,414.82,11.95
2016-03-31,416.73,11.4
2016-04-01,417.96,11.66
2016-04-02,420.87,11.6
